gene	observed	raw_count	domain_width	expected	obs_exp	per_100kb	fdr	rank_raw_domain_count	rank_domain_normalised	rank_change	is_ohnologue
LOC103910029	2	1	148331	0.06392244670218032	31.287913763973343	1.3483358165184622	0.7823559509992408	81	251	-170	FALSE
LOC141380324	3	NA	223315	0.0962363982262467	31.173236481140513	1.3433938606900566	0.11589611055566106	42	252	-210	FALSE
wtip	1	1	74561	0.032131661949027966	31.121950728423233	1.3411837287590027	1	219	253	-34	FALSE
mef2aa	1	NA	74743	0.032210093870202884	31.046168447372526	1.337917932114044	1	219	254	-35	TRUE
LOC137490210	1	NA	75091	0.03236006259860328	30.902288799749165	1.331717516080489	1	219	255	-36	FALSE
zgc:162898	1	NA	75482	0.0325285619457428	30.74221361731227	1.3248191621843617	1	219	256	-37	FALSE
si:ch211-107p11.3	1	NA	75755	0.03264620982750518	30.63142720958306	1.320044881525972	1	219	257	-38	FALSE
LOC141376393	1	NA	76125	0.03280565933758606	30.482545395887875	1.3136288998357963	1	219	258	-39	FALSE
bmp8a	4	NA	306622	0.13213710183788915	30.271588708728853	1.3045378348585555	0.016592224789264448	20	259	-239	TRUE
pik3c2a	1	1	76879	0.03313059158245357	30.183584181141338	1.3007453270724125	1	219	260	-41	TRUE
LOC141379151	4	NA	309916	0.1335566334222308	29.94984148300784	1.2906723112069076	0.016803078221074675	20	261	-241	FALSE
brip1	3	3	232923	0.10037691415288744	29.887350346620536	1.2879792892930282	0.12412867449187658	42	262	-220	FALSE
zgc:113278	1	NA	77737	0.033500342067992475	29.850441466251137	1.2863887209436948	1	219	263	-44	FALSE
tle3b	3	2	233795	0.10075269786313211	29.775877605534312	1.2831754314677388	0.12412867449187658	42	264	-222	TRUE
tle3a	2	1	157995	0.06808709552764412	29.3741418179305	1.2658628437608785	0.8711778909165271	81	265	-184	TRUE
LOC100330485	2	1	158468	0.06829093233377455	29.286465005704173	1.2620844586919755	0.8711778909165271	81	266	-185	FALSE
clec3a	1	1	79245	0.03415020655772751	29.282399750923904	1.261909268723579	1	219	267	-48	TRUE
obi1	2	NA	158640	0.06836505480873106	29.254712156605706	1.2607160867372667	0.8711778909165271	81	268	-187	FALSE
LOC137489112	1	NA	79834	0.0344040329399914	29.066359799859267	1.252599143222186	1	219	269	-50	FALSE
uuc-149	1	NA	80111	0.034523404600241135	28.965856976719362	1.248268028110996	1	219	270	-51	FALSE
gjd6	1	1	80363	0.03463200264494487	28.87502666976052	1.2443537448825952	1	219	271	-52	FALSE
pitpnaa	1	NA	80537	0.03470698700914507	28.81264224222363	1.241665321529235	1	219	272	-53	TRUE
ebf3a	4	NA	322481	0.13897145259565305	28.782889761095564	1.2403831543563806	0.018065386600375162	20	273	-253	TRUE
tex2	2	NA	162688	0.07010951863794022	28.526796915100867	1.2293469708890636	0.9079980266379757	81	274	-193	FALSE
casz1	1	2	81344	0.03505475931897011	28.526796915100867	1.2293469708890636	1	219	274	-55	FALSE
vat1l	1	NA	81598	0.03516421925291753	28.437998091398867	1.2255202333390525	1	219	276	-57	FALSE
LOC141378173	1	NA	81858	0.035276264854595986	28.347672411517074	1.2216276967431405	1	219	277	-58	FALSE
LOC141375136	1	NA	82146	0.03540037690568597	28.248286809606853	1.2173447276799845	1	219	278	-59	FALSE
LOC141379073	1	NA	82662	0.03562274433055552	28.071952871476185	1.209745711451453	1	219	279	-60	FALSE
helt	1	NA	83643	0.03604550100458076	27.74271329653366	1.1955573090396088	1	219	280	-61	FALSE
slc25a4	1	NA	83643	0.03604550100458076	27.74271329653366	1.1955573090396088	1	219	280	-61	FALSE
LOC141377788	2	NA	168124	0.07245213360226362	27.604432065165767	1.1895981537436653	0.9327568875570424	81	282	-201	FALSE
ofcc1	2	NA	168393	0.07256805770553863	27.560335266453652	1.1876978259191298	0.9327568875570424	81	283	-202	FALSE
LOC137487757	2	NA	168459	0.07259650005058009	27.549537492944452	1.1872325016769658	0.9327568875570424	81	284	-203	FALSE
tbx2b	2	NA	168459	0.07259650005058009	27.549537492944452	1.1872325016769658	0.9327568875570424	81	284	-203	TRUE
LOC110438354	1	1	84301	0.03632906256575162	27.526171317801268	1.1862255489258726	1	219	286	-67	FALSE
im:7160157	5	5	421616	0.18169314768178235	27.5189244272272	1.1859132480740768	0.0030348098474464362	11	287	-276	FALSE
prdm13	1	1	84378	0.03636224530163332	27.50105203088441	1.1851430467657447	1	219	288	-69	FALSE
rfx4	1	1	84798	0.03654324204280621	27.364840777635848	1.1792730960635864	1	219	289	-70	FALSE
cdhr1a	3	2	255520	0.11011496977261069	27.244252132067526	1.17407639323732	0.1473408170661925	42	290	-248	TRUE
drg1	1	NA	85304	0.036761300021457353	27.20252002557869	1.1722779705523774	1	219	291	-72	FALSE
sh3gl3a	1	NA	85309	0.03676345474456655	27.200925673281425	1.1722092627975946	1	219	292	-73	TRUE
sox2	2	NA	170722	0.07357172772980448	27.18435548156611	1.1714951792973372	0.9327568875570424	81	293	-212	FALSE
hmx2	2	NA	170733	0.07357646812064474	27.182604045638097	1.1714197021079698	0.9327568875570424	81	294	-213	FALSE
mdfic	1	3	85453	0.03682551077011154	27.155088390834315	1.1702339297625595	1	219	295	-76	FALSE
LOC141376869	8	5	684186	0.2948462770383666	27.13278281943173	1.169272683159258	6.6127308777206754e-6	2	296	-294	FALSE
lmo3	2	NA	171417	0.07387123424198343	27.074138134046972	1.1667454219826505	0.9327568875570424	81	297	-216	FALSE
rev1	2	2	171976	0.0741121322855921	26.986134905591072	1.162952970181886	0.9327568875570424	81	298	-217	FALSE
lnpa	2	1	172060	0.0741483316338267	26.972960226222998	1.1623852144600721	0.9327568875570424	81	299	-218	TRUE
pcdh2ac	1	NA	86175	0.03713665278708018	26.927574914557177	1.1604293588627792	1	219	300	-81	FALSE
LOC141376043	3	2	260225	0.11214256421836888	26.7516622337819	1.1528484964934191	0.15059643817075383	42	301	-259	FALSE
etaa1b	1	NA	87047	0.037512436497324844	26.657825867197772	1.1488046687421738	1	219	302	-83	TRUE
LOC141375423	1	NA	87910	0.037884341705972935	26.39612977206194	1.1375270162666364	1	219	303	-84	FALSE
LOC141380680	1	NA	87912	0.037885203595216625	26.395529259509107	1.1375011375011375	1	219	304	-85	FALSE
barx1	1	NA	87961	0.037906319881686794	26.380825232341202	1.1368674753583974	1	219	305	-86	FALSE
gpr137bb	1	NA	88571	0.03816919610100932	26.199137056846652	1.1290377211502636	1	219	306	-87	TRUE
LOC141377001	3	NA	266360	0.11478640947335858	26.13549821589538	1.1262952395254542	0.15894481877013028	42	307	-265	FALSE
LOC103910044	1	1	89158	0.038422160594029524	26.026646720002297	1.1216043428520155	1	219	308	-89	FALSE
LOC141377856	2	NA	178511	0.07692835538931789	25.998216000828688	1.1203791362997237	0.9809944236716042	81	309	-228	FALSE
cerkl	1	1	89267	0.038469133557810106	25.99486672860032	1.1202348012143346	1	219	310	-91	FALSE
gbx2	1	NA	89275	0.038472581114784826	25.992537309011087	1.1201344161299356	1	219	311	-92	FALSE
LOC101885582	2	NA	181740	0.07831987557323992	25.536302060767746	1.1004732034774953	0.9880376420386051	81	312	-231	FALSE
LOC137487909	1	NA	91219	0.0393103374596422	25.438601259189035	1.0962628399785133	1	219	313	-94	FALSE
sox1a	2	NA	182941	0.07883744006407002	25.368657307678045	1.0932486430051218	0.9939886805347427	81	314	-233	TRUE
rrs1	1	NA	91602	0.039475389249806994	25.33223912427638	1.091679220977708	1	219	315	-96	FALSE
jam3b	2	NA	184541	0.07952695145901437	25.148706989362413	1.0837700023301056	1	81	316	-235	TRUE
LOC103911737	1	NA	92672	0.039936499995176025	25.039750607108562	1.0790745856353592	1	219	317	-98	FALSE
LOC141381130	1	1	93235	0.04017912181727206	24.888547951541426	1.0725585885128974	1	219	318	-99	FALSE
taar12m	1	NA	93474	0.040282117581891874	24.824911400624394	1.069816205575882	1	219	319	-100	FALSE
LOC571470	1	NA	94419	0.040689360249530876	24.576449319119718	1.0591088658003156	1	219	320	-101	FALSE
LOC137490512	1	NA	94574	0.04075615666591611	24.536170282127905	1.057373062363863	1	219	321	-102	FALSE
dio2	2	NA	189368	0.08160712114863707	24.507665162667024	1.0561446495712052	1	81	322	-241	FALSE
LOC141377121	2	NA	189717	0.0817575208216593	24.462581300167773	1.0542017847636216	1	81	323	-242	FALSE
LOC137488089	2	NA	190525	0.08210572407610618	24.358837614611886	1.0497310064296024	1	81	324	-243	FALSE
LOC137487981	1	NA	95642	0.04121640552204145	24.262183645908333	1.0455657556303715	1	219	325	-106	FALSE
cryzl1	1	NA	95929	0.0413400866285096	24.189596141541813	1.0424376361684162	1	219	326	-107	FALSE
il16	1	NA	96034	0.04138533581380281	24.163148137763343	1.041297873669742	1	219	327	-108	FALSE
LOC137488151	1	NA	96047	0.041390938093886734	24.15987764596463	1.0411569335845992	1	219	328	-109	FALSE
ino80db	1	NA	96169	0.041443513337751245	24.129228423524886	1.0398361218272	1	219	329	-110	TRUE
cbfa2t3	1	1	96347	0.041520221480438796	24.08464994511469	1.0379150362751304	1	219	330	-111	FALSE
zgc:153704	1	1	96352	0.041522376203548005	24.08340011895928	1.0378611756891398	1	219	331	-112	FALSE
LOC141385702	1	NA	96465	0.04157107294581595	24.055188599616073	1.0366454154356501	1	219	332	-113	FALSE
LOC110438336	1	NA	96757	0.04169690877539328	23.982593179428516	1.0335169548456442	1	219	333	-114	FALSE
sall1a	6	4	581216	0.25047190932748004	23.95478205963323	1.032318449595331	6.784013858518809e-4	4	334	-330	TRUE
si:dkey-22n8.3	1	NA	97368	0.04196021593933765	23.832098515548896	1.027031468244187	1	219	335	-116	FALSE
LOC141380318	1	NA	97529	0.042029598023453935	23.79275670069379	1.025336053891663	1	219	336	-117	FALSE
six3a	2	2	195836	0.08439447096269954	23.69823493394437	1.0212626891889132	1	81	337	-256	TRUE
her6	2	NA	196714	0.08477284034067525	23.592461830494674	1.0167044541822137	1	81	338	-257	FALSE
ric8b	1	NA	98455	0.042428652743277964	23.56897839888238	1.0156924483266467	1	219	339	-120	TRUE
ttyh1	1	1	98636	0.04250665371983105	23.525728621010224	1.0138286224096678	1	219	340	-121	FALSE
meis2a	3	2	297353	0.12814267613805225	23.411404306618376	1.0089018775663943	0.20842186072463859	42	341	-299	TRUE
LOC110438665	1	NA	99222	0.04275918726822941	23.386786884581692	1.0078410030033662	1	219	342	-123	FALSE
eya1	3	3	297844	0.12835426994737578	23.372810279159204	1.0072386887095257	0.20842186072463859	42	343	-301	FALSE
gnb1l	1	1	99352	0.04281521006906863	23.356185766385828	1.0065222642724858	1	219	344	-125	FALSE
alx4b	1	1	99469	0.04286563058982394	23.32871314944319	1.0053383466205552	1	219	345	-126	TRUE
otx1	2	NA	199661	0.08604283414123835	23.244236663764728	1.0016978779030457	1	81	346	-265	FALSE
fam204a	2	1	200134	0.08624667094736878	23.189300851049442	0.9993304485994384	1	81	347	-266	TRUE
LOC141386308	1	NA	100279	0.04321469573351451	23.140276311709975	0.9972177624427846	1	219	348	-129	FALSE
LOC137488867	1	1	101545	0.043760271624764216	22.85177771689364	0.9847850706583289	1	219	349	-130	FALSE
LOC108181461	1	1	101595	0.04378181885585623	22.840531209822966	0.9843004084846696	1	219	350	-131	FALSE
skor1b	1	1	101685	0.043820603871821844	22.820315368657766	0.9834292176820573	1	219	351	-132	TRUE
znf503	2	2	204210	0.08800320122598947	22.726445994436755	0.9793839674844522	1	81	352	-271	FALSE
LOC141375117	4	NA	408817	0.17617748746684952	22.70437646440304	0.9784328929569954	0.04198845863090342	20	353	-333	FALSE
znf407	1	NA	102579	0.04420586836374699	22.621430977704645	0.9748584018171361	1	219	354	-135	FALSE
gstcd	1	NA	102761	0.04428430028492191	22.581366162863002	0.973131830169033	1	219	355	-136	FALSE
dll4	1	1	102831	0.04431446640845073	22.565994381674443	0.9724693915259016	1	219	356	-137	FALSE
gpr26	2	NA	206071	0.08880518916723411	22.52120646051084	0.970539280151016	1	81	357	-276	FALSE
slc35b3	4	3	414791	0.17875195063772292	22.377378180934155	0.9643410777958055	0.04334906955226057	20	358	-338	FALSE
tfap2a	2	NA	208046	0.08965630479536853	22.30741055595363	0.9613258606269768	1	81	359	-278	TRUE
LOC141378401	1	NA	104340	0.04496476184280761	22.239637418650226	0.9584052137243626	1	219	360	-141	FALSE
LOC141381022	1	1	104765	0.0451479133070897	22.149417918789336	0.9545172528993462	1	219	361	-142	FALSE
bcl11ba	1	NA	104781	0.045154808421039146	22.14603571508159	0.9543714986495644	1	219	362	-143	TRUE
LOC141385574	2	NA	210115	0.09054792921795592	22.087749739542296	0.9518596958808271	1	81	363	-282	FALSE
mdfic2	1	NA	105073	0.04528064425061648	22.084491432261046	0.9517192808809114	1	219	364	-145	FALSE
chac1	1	NA	105182	0.04532761721439707	22.06160529617201	0.9507330151546843	1	219	365	-146	FALSE
pabpn1l	1	NA	105349	0.04539958496624438	22.026633079212566	0.949225906273434	1	219	366	-147	FALSE
insm1b	1	1	105581	0.045499564118511304	21.97823252537829	0.947140110436537	1	219	367	-148	TRUE
scarf2	1	NA	105803	0.045595233824559836	21.932116936778396	0.9451527839475251	1	219	368	-149	FALSE
selenoe	1	NA	105803	0.045595233824559836	21.932116936778396	0.9451527839475251	1	219	368	-149	FALSE
rapgef4b	1	1	105931	0.045650394736155384	21.905615620186392	0.9440107239618243	1	219	370	-151	TRUE
LOC141386306	2	NA	212096	0.09140163051382137	21.881447724256606	0.9429692214846107	1	81	371	-290	FALSE
irx1a	2	NA	213691	0.09208898718565652	21.71812353596515	0.9359308534285488	1	81	372	-291	TRUE
rgs5a	1	1	107126	0.04616537355925444	21.661256541474195	0.9334802008849391	1	219	373	-154	TRUE
pbx1a	1	2	107204	0.046198987239757974	21.645496140647406	0.9328010148875041	1	219	374	-155	TRUE
LOC141385595	1	NA	107725	0.04642350938773672	21.540810102222927	0.9282896263634254	1	219	375	-156	FALSE
fsta	2	NA	215597	0.09291036763488396	21.526122981877897	0.9276566928111245	1	81	376	-295	TRUE
LOC141377772	4	NA	432414	0.18634648770841294	21.465389818664196	0.9250394298056955	0.04672951946970946	20	377	-357	FALSE
cyp2r1	4	1	432573	0.18641500790328555	21.45749982788537	0.9246994148964452	0.04672951946970946	20	378	-358	FALSE
LOC141375116	4	NA	435473	0.18766474730662216	21.314605206402828	0.9185414480346658	0.04672951946970946	20	379	-359	FALSE
LOC137490429	1	NA	109267	0.04708802599461433	21.236821439793943	0.9151893984460083	1	219	380	-161	FALSE
dennd1b	2	2	219055	0.0944005741372074	21.186311823623882	0.9130127137020383	1	81	381	-300	TRUE
LOC137496386	2	NA	219154	0.09444323765476959	21.176741179827562	0.9126002719548811	1	81	382	-301	FALSE
elna	1	1	109712	0.04727979635133322	21.15068331870684	0.9114773224442175	1	219	383	-164	TRUE
nrip1b	1	NA	109758	0.04729961980393787	21.14181898596881	0.911095318792252	1	219	384	-165	TRUE
mfsd12a	1	NA	110286	0.0475271585642695	21.040601420506363	0.9067334022450719	1	219	385	-166	TRUE
comtd1	2	NA	220890	0.09519135751828418	21.01031072716705	0.9054280411064332	1	81	386	-305	FALSE
acsf3	1	1	110706	0.04770815530544239	20.96077690696046	0.9032934077647102	1	219	387	-168	FALSE
gtf3aa	1	1	110948	0.04781244390392772	20.915057218354228	0.9013231423730036	1	219	388	-169	TRUE
LOC137490211	1	2	111764	0.04816409471534933	20.76235432037118	0.8947424931104828	1	219	389	-170	FALSE
bbx	1	1	113032	0.048710532495842715	20.529440939397382	0.8847052162219549	1	219	390	-171	FALSE
hmga2	1	NA	113112	0.048745008065589936	20.514921213151254	0.884079496428319	1	219	391	-172	FALSE
LOC137496734	1	NA	113119	0.04874802467794282	20.513651714229834	0.8840247880550571	1	219	392	-173	FALSE
pitx3	2	NA	226489	0.09760421645596754	20.49091804248299	0.8830450926976586	1	81	393	-312	FALSE
LOC141380658	1	1	113507	0.04891523119121682	20.443530075343062	0.8810029337397693	1	219	394	-175	FALSE
zgc:163022	1	NA	113551	0.04893419275457779	20.43560838972765	0.8806615529585825	1	219	395	-176	FALSE
LOC137496101	5	1	573235	0.24703254030057328	20.240248486763413	0.8722426230080159	0.010595216242963971	11	396	-385	FALSE
epha4l	1	1	114957	0.049540100892885124	20.185667408352383	0.8698904807884688	1	219	397	-178	FALSE
tm6sf2a	1	NA	115032	0.04957242173952314	20.172506504815743	0.8693233187287016	1	219	398	-179	TRUE
LOC141378822	2	1	230544	0.0993516968975296	20.130506699475713	0.8675133597057395	1	81	399	-318	FALSE
zfpm1	1	1	115337	0.0497038598491844	20.119161832386528	0.8670244587599816	1	219	400	-181	FALSE
flt1	1	1	115357	0.04971247874162121	20.11567367617019	0.8668741385438248	1	219	401	-182	FALSE
LOC141375664	1	1	115544	0.049793065385905326	20.083117844820716	0.8654711625008654	1	219	402	-183	FALSE
si:rp71-78h1.1	2	NA	231477	0.0997537682297065	20.04936791354618	0.8640167273638417	1	81	403	-322	FALSE
LOC141381572	3	NA	348730	0.15028331797433675	19.962295485865553	0.8602643879218881	0.29778554053245104	42	404	-362	FALSE
LOC141381578	3	NA	351250	0.1513692984213741	19.81907844778902	0.8540925266903914	0.3004656659989369	42	405	-363	FALSE
barhl1b	1	1	117153	0.05048645528244623	19.807292756156176	0.8535846286480073	1	219	406	-187	TRUE
LOC141378392	2	1	234428	0.10102548580875696	19.796984731021592	0.8531404098486529	1	81	407	-326	FALSE
LOC137495977	1	1	117817	0.050772602511348124	19.695661646977644	0.8487739460349526	1	219	408	-189	FALSE
LOC137487790	2	NA	236459	0.10190073433571442	19.626943937527987	0.8458125933037016	1	81	409	-328	FALSE
LOC141380693	3	NA	354704	0.15285778114521015	19.626086271330166	0.8457756326401732	0.3054813102864906	42	410	-368	FALSE
LOC141378803	1	1	118285	0.050974284594369354	19.617734862932448	0.8454157331867946	1	219	411	-192	FALSE
LOC141378587	1	NA	118386	0.0510178100011752	19.60099816077885	0.8446944740087511	1	219	412	-193	FALSE
si:ch211-191a16.2	1	NA	118679	0.05114407677537439	19.552606343683085	0.8426090546769015	1	219	413	-194	FALSE
cxxc5a	1	NA	118681	0.05114493866461807	19.552276845172898	0.8425948551158147	1	219	414	-195	TRUE
LOC141380616	3	1	356614	0.15368088537292496	19.52097030622997	0.841245716657226	0.30668700046968855	42	415	-373	FALSE
ehbp1	2	2	237957	0.10254628937923106	19.50338732007854	0.840487987325441	1	81	416	-335	FALSE
acbd6	1	1	119294	0.05140910771780612	19.451806195298712	0.8382651264942077	1	219	417	-198	FALSE
LOC141380819	4	1	477495	0.20577390220559152	19.438811030582222	0.8377051068597577	0.06520013695880894	20	418	-398	FALSE
gbx1	3	NA	359593	0.15496466940138698	19.359251444788672	0.8342765292984012	0.3105679076954478	42	419	-377	FALSE
cdc37l1	1	NA	120218	0.051807300548386476	19.30229889252828	0.8318221896887321	1	219	420	-201	FALSE
mapk4	1	NA	120376	0.05187538979863723	19.276963582956444	0.8307303781484682	1	219	421	-202	FALSE
LOC141376196	1	NA	120554	0.05195209794132479	19.248500823381757	0.8295037908323241	1	219	422	-203	FALSE
LOC101885538	1	NA	120715	0.05202148002544106	19.22282871442625	0.8283974651037568	1	219	423	-204	FALSE
bnip2	1	NA	120941	0.052118873509976946	19.186907403295532	0.8268494555196335	1	219	424	-205	FALSE
LOC141377882	3	NA	363160	0.156501848867491	19.169102612583693	0.8260821676396078	0.31403688969775456	42	425	-383	FALSE
LOC137496842	4	3	484227	0.2086750213998198	19.16856159001431	0.8260588525629509	0.06739329456757837	20	426	-406	FALSE
LOC141376361	1	NA	121125	0.05219816732039555	19.157760728684952	0.825593395252838	1	219	427	-208	FALSE
si:ch211-262n1.5	1	NA	121483	0.05235244549501434	19.10130444804594	0.8231604422017895	1	219	428	-209	FALSE
sox14	1	NA	121665	0.052430877416189264	19.0727305984627	0.8219290675214729	1	219	429	-210	FALSE
haus7	1	1	121957	0.0525567132457666	19.027065016866313	0.8199611338422559	1	219	430	-211	FALSE
LOC137487358	1	NA	123401	0.05317899727970387	18.804416238620146	0.810366204487808	1	219	431	-212	FALSE
LOC137490786	1	NA	123699	0.05330741877701225	18.759115015173645	0.8084139726271029	1	219	432	-213	FALSE
sall4	1	1	123762	0.05333456828818819	18.749565846236845	0.8080024563274673	1	219	433	-214	FALSE
mab21l2	2	NA	247828	0.10680014374141579	18.726566556337175	0.8070113142986265	1	81	434	-353	FALSE
ptch1	1	1	123997	0.053435840274320634	18.71403153513363	0.8064711243013943	1	219	435	-216	FALSE
LOC141380265	2	NA	248165	0.10694537207897595	18.701136487917026	0.8059154191767574	1	81	436	-355	FALSE
zic4	1	NA	124214	0.05352935525725996	18.681338401967288	0.8050622313104803	1	219	437	-218	FALSE
map3k20b	1	NA	124365	0.05359442789515782	18.65865611918116	0.8040847505327062	1	219	438	-219	TRUE
LOC141378830	3	3	373270	0.16085869899429553	18.649908390135543	0.8037077718541539	0.3272592881205007	42	439	-397	FALSE
LOC141378607	1	1	124561	0.05367889304103851	18.62929623447118	0.8028195020913448	1	219	440	-221	FALSE
LOC141380509	2	NA	249927	0.10770469650265839	18.569292379470525	0.8002336682311234	1	81	441	-360	FALSE
crfb15	1	NA	125746	0.05418956241791916	18.453738236301472	0.7952539245781178	1	219	442	-223	FALSE
LOC100330771	1	1	126004	0.05430074613035393	18.415953209913692	0.7936255991873273	1	219	443	-224	FALSE
dclk1b	1	NA	126102	0.05434297870329428	18.4016412766012	0.793008834118412	1	219	444	-225	TRUE
si:dkey-122a22.2	3	NA	379929	0.16372835923112947	18.323032210718043	0.7896212187013889	0.34069075205540417	42	445	-403	FALSE
LOC141378153	1	NA	126663	0.054584738636146636	18.320139016618622	0.7894965380576807	1	219	446	-227	FALSE
zfhx3b	4	5	506965	0.21847384021122254	18.308828169691907	0.789009103192528	0.07326150702363564	20	447	-427	TRUE
fcho1	1	NA	126778	0.054634297267658255	18.303520865307583	0.7887803877644387	1	219	448	-229	FALSE
tmem114	4	NA	507609	0.21875136854768762	18.28559988701512	0.7880080928431136	0.07326150702363564	20	449	-429	FALSE
arid1ab	2	1	254108	0.10950647596657231	18.263760041100358	0.7870669164292348	1	81	450	-369	TRUE
LOC141380330	2	NA	255550	0.11012789811126589	18.16070254949689	0.782625709254549	1	81	451	-370	FALSE
LOC141377986	1	1	128148	0.05522469139957935	18.107842246948564	0.7803477229453445	1	219	452	-233	FALSE
or40a1	3	NA	384805	0.16582964520722235	18.09085460112497	0.779615649484804	0.3460625918438681	42	453	-411	FALSE
LOC141376496	1	1	128599	0.055419047424029276	18.044337578534552	0.7776110234138679	1	219	454	-235	FALSE
LOC141378829	2	NA	257618	0.11101909158923146	18.014919518527158	0.776343267939352	1	81	455	-374	FALSE
LOC141377775	2	1	257826	0.11110872807057422	18.000386060846964	0.7757169563969498	1	81	456	-375	FALSE
lhx4	1	NA	129177	0.05566813341545293	17.963598537370927	0.7741316178576682	1	219	457	-238	FALSE
tnrc6a	1	1	129896	0.05597798259855604	17.864166473655576	0.7698466465480077	1	219	458	-239	TRUE
zdhhc18b	1	NA	130131	0.05607925458468849	17.83190606590255	0.7684564016260538	1	219	459	-240	TRUE
LOC141378588	1	NA	130428	0.05620724513737503	17.791300704311688	0.7667065354065078	1	219	460	-241	FALSE
LOC141384501	1	NA	130433	0.05620939986048423	17.79061869513056	0.7666771445876427	1	219	461	-242	FALSE
klc4	1	NA	131085	0.05649037575392405	17.702130436449362	0.7628637906701758	1	219	462	-243	FALSE
jtb	1	NA	131756	0.05677953959517883	17.61197796124628	0.7589787182367406	1	219	463	-244	TRUE
si:ch211-202e12.3	1	NA	132241	0.05698854773677133	17.54738521534142	0.7561951285909816	1	219	464	-245	FALSE
ppic	1	NA	132508	0.05710360995080267	17.51202771351137	0.7546714160654451	1	219	465	-246	FALSE
hpda	2	2	266929	0.11503161696318566	17.386524268715387	0.7492629126097201	1	81	466	-385	TRUE
spata17	2	1	268284	0.11561554692577915	17.29871157625475	0.7454786718551982	1	81	467	-386	FALSE
cyp19a1a	1	1	134197	0.057831475417090786	17.291621781872653	0.7451731409793065	1	219	468	-249	TRUE
LOC141378763	1	NA	134197	0.057831475417090786	17.291621781872653	0.7451731409793065	1	219	468	-249	FALSE
LOC141375619	1	NA	134489	0.05795731124666812	17.254078536251775	0.743555235000632	1	219	470	-251	FALSE
si:ch211-168k14.2	1	1	135121	0.05822966824767114	17.173376220291182	0.7400774120973054	1	219	471	-252	FALSE
camsap1a	1	NA	135285	0.05830034316565293	17.152557698650735	0.7391802491037439	1	219	472	-253	TRUE
rbm26	2	NA	271691	0.11708377525238875	17.081786060355068	0.7361303834135102	1	81	473	-392	FALSE
sox6	3	3	408219	0.17591978258298904	17.053227078567865	0.7348996494528672	0.4058460811165638	42	474	-432	FALSE
fignl2	1	NA	136696	0.05890840602706947	16.975506000628876	0.7315503013987242	1	219	475	-256	FALSE
gtf3c4	1	NA	136858	0.058978219055807586	16.955411947142036	0.7306843589706119	1	219	476	-257	FALSE
LOC141385602	2	NA	274042	0.11809692605833508	16.935241811561475	0.7298151378255888	1	81	477	-396	FALSE
nrarpa	1	NA	137063	0.05906656270328482	16.930052371989266	0.729591501718188	1	219	478	-259	TRUE
LOC141376616	2	NA	274328	0.11822017622018137	16.917586015732734	0.7290542707999184	1	81	479	-398	FALSE
LOC100330978	1	NA	137538	0.059271261398658924	16.871582895359573	0.72707179106865	1	219	480	-261	FALSE
ccnd2a	2	2	276048	0.11896140096974654	16.812175913333657	0.7245116791282676	1	81	481	-400	TRUE
frs2a	1	NA	138074	0.05950224771596528	16.8060878098843	0.7242493155843968	1	219	482	-263	TRUE
eif4ebp1	1	NA	138639	0.059745731427305	16.737597416758376	0.721297758927863	1	219	483	-264	FALSE
spopla	1	1	138713	0.05977762132932118	16.72866831704285	0.7209129641778348	1	219	484	-265	TRUE
tigara	2	NA	278244	0.11990775535930764	16.67948827835975	0.7187935768605972	1	81	485	-404	TRUE
alx4a	1	1	139244	0.06000645292351833	16.664874380669648	0.7181637987992302	1	219	486	-267	TRUE
sik1	1	1	139744	0.060221925234438436	16.605247940963224	0.7155942294481337	1	219	487	-268	FALSE
LOC137495971	1	NA	139936	0.06030466660183176	16.582464614266268	0.7146123942373657	1	219	488	-269	FALSE
erf	1	1	140015	0.06033871122695713	16.573108368831658	0.7142091918722994	1	219	489	-270	FALSE
kcnq4	1	1	140194	0.06041585031426653	16.551947788507103	0.7132972880437108	1	219	490	-271	FALSE
LOC141385665	1	NA	140355	0.060485232398382806	16.53296119313145	0.7124790709272915	1	219	491	-272	FALSE
ank1b	1	1	140800	0.0606770027551017	16.480708581406	0.7102272727272728	1	219	492	-273	TRUE
glg1b	1	NA	141040	0.060780429464343345	16.45266426731399	0.7090187180941576	1	219	493	-274	TRUE
LOC141380758	1	NA	141742	0.061082952588875174	16.3711798074104	0.7055071891182572	1	219	494	-275	FALSE
esrrb	2	1	283794	0.12229949801052083	16.353296886205943	0.7047365342466718	1	81	495	-414	TRUE
LOC141377756	1	NA	142420	0.061375133042482835	16.293243703566667	0.7021485746383935	1	219	496	-277	FALSE
rbfox1	4	4	569717	0.24551647712093944	16.292185546592183	0.7021029739326718	0.10633781931776654	20	497	-477	FALSE
cbln1	1	NA	142554	0.061432879621809426	16.277928141349697	0.7014885587216072	1	219	498	-279	FALSE
LOC141375525	1	NA	142569	0.06143934379113703	16.276215504506343	0.7014147535579264	1	219	499	-280	FALSE
LOC141384475	1	NA	143203	0.061712562681383726	16.204156115877215	0.6983093929596448	1	219	500	-281	FALSE
hsd17b3	1	NA	143375	0.06178668515634024	16.184716779508037	0.6974716652136007	1	219	501	-282	FALSE
LOC141379868	1	NA	144232	0.0621560046972573	16.088550170988164	0.6933274169393754	1	219	502	-283	FALSE
